city,temperature,feels_like,humidity,pressure,wind_speed,condition,visibility,heat_category,humidity_level,feels_diff
Mumbai,32.0,39.0,66,1011,3.09,Haze,5,Hot,Moderate,7.0
Delhi,30.0,31.8,54,1008,4.12,Haze,4,Hot,Moderate,1.8
Bengaluru,25.5,26.1,75,1014,10.73,Overcast Clouds,10,Warm,High,0.6
Chennai,34.8,41.7,54,1009,5.66,Few Clouds,6,Hot,Moderate,6.9
Hyderabad,31.2,32.0,45,1010,5.66,Broken Clouds,6,Hot,Moderate,0.8
Kolkata,33.0,40.0,70,1008,2.57,Haze,3,Hot,High,7.0
Pune,29.7,29.5,42,1012,3.15,Clear Sky,10,Warm,Moderate,-0.2
Jaipur,29.1,29.2,45,1008,3.32,Clear Sky,10,Warm,Moderate,0.1
Ahmedabad,31.0,33.7,55,1009,2.06,Haze,4,Hot,Moderate,2.7
Lucknow,28.0,30.5,69,1008,3.09,Haze,4,Warm,Moderate,2.5
